YearBP,Minimum,5thPercentile,Median,95thPercentile,Maximum,AreaMean
1950,-0.577046203613,-0.572984695435,-0.526578097873,-0.499264305962,-0.498572116428,-0.531669330851
1800,-0.0136778089735,-0.0115736982558,0.00389166937934,0.0346980624729,0.0395094129774,0.00865601859951
1650,-0.336768256293,-0.330718451606,-0.276705763075,-0.228973134359,-0.224031575521,-0.277915773252
1500,-0.531455993652,-0.51814046224,-0.423635440403,-0.369607391357,-0.363434855143,-0.434677651039
1350,-0.479556952582,-0.474642172919,-0.443581051297,-0.430729192098,-0.429027811686,-0.449175099386
1200,-0.367223951552,-0.361946063572,-0.326766543918,-0.285128699409,-0.278711107042,-0.324540671608
1050,-0.717691548665,-0.709789555868,-0.64128112793,-0.586727235582,-0.581287807888,-0.644615785347
900,-0.233313496908,-0.231635487874,-0.215136125353,-0.202721150716,-0.201763916016,-0.216357529276
750,-0.313598293728,-0.308645011054,-0.272555796305,-0.241560321384,-0.237505933974,-0.274439606331
600,-0.442145114475,-0.438683353,-0.405937957764,-0.386415879991,-0.385287645128,-0.409479267532
450,-0.362101745605,-0.359851531982,-0.331256188287,-0.304639773899,-0.302738783095,-0.331457105577
300,-0.296583048503,-0.292829259237,-0.254857720269,-0.222357779609,-0.219569566515,-0.256649569931
150,-0.476427544488,-0.466947080824,-0.402716912164,-0.371411446465,-0.367741224501,-0.4120336755
0,0,0,0,0,0,0
